UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,MES,TIPO_DESENROLA,NUMERO_OPERACOES,VOLUME_OPERACOES,CLUSTER,BIMESTRE,TICKET_MEDIO
BA,CAIXA ECONÔMICA FEDERAL,2024-02,1,21,9898.93,0,2024-B1,471.3776190476191
BA,CAIXA ECONÔMICA FEDERAL,2024-02,2,11,64148.62,0,2024-B1,5831.692727272727
BA,CC SICOOB COOPEC LTDA.,2024-02,1,1,1120.2,0,2024-B1,1120.2
BA,CC SICOOB COOPEMAR,2024-02,1,2,899.91,0,2024-B1,449.955
BA,CC SICOOB CRED EXECUTIVO,2024-02,1,1,592.5,0,2024-B1,592.5
BA,INTER,2024-02,1,1060,1091195.39,0,2024-B1,1029.4296132075472
BA,ITAU,2024-02,1,782,816993.2,0,2024-B1,1044.748337595908
BA,ITAU,2024-02,2,30,123908.81,0,2024-B1,4130.2936666666665
BA,NUBANK,2024-02,1,3220,3128160.19,2,2024-B1,971.4783198757764
BA,SANTANDER,2024-02,1,255,280491.83,0,2024-B1,1099.9679607843138
BA,SANTANDER,2024-02,2,1,43.19,0,2024-B1,43.19
BA,SOC CC SICOOB COOPERE,2024-02,1,9,7835.54,0,2024-B1,870.6155555555556
BA,VOTORANTIM,2024-02,1,14,18483.24,0,2024-B1,1320.2314285714288
BA,VOTORANTIM,2024-02,2,75,477700.86,0,2024-B1,6369.3448
CE,BANCO SICOOB,2024-02,1,1,689.2,0,2024-B1,689.2
CE,BANRISUL,2024-02,1,2,1076.13,0,2024-B1,538.065
CE,BB,2024-02,1,432,499942.02,0,2024-B1,1157.2731944444445
CE,BMG,2024-02,1,19,15545.68,0,2024-B1,818.1936842105264
CE,BRADESCO,2024-02,1,341,358958.1,0,2024-B1,1052.6630498533723
CE,BRADESCO,2024-02,2,17,120409.04,0,2024-B1,7082.884705882352
CE,BRB,2024-02,1,29,32804.71,0,2024-B1,1131.1968965517242
CE,BTG PACTUAL,2024-02,1,2660,3264309.38,2,2024-B1,1227.183977443609
CE,BTG PACTUAL,2024-02,2,4,6158.89,0,2024-B1,1539.7225
CE,C6 BANK,2024-02,1,73,80998.1,0,2024-B1,1109.5630136986301
CE,C6 BANK,2024-02,2,9,12601.65,0,2024-B1,1400.1833333333334
CE,CAIXA ECONÔMICA FEDERAL,2024-02,1,11,2995.13,0,2024-B1,272.2845454545455
CE,CAIXA ECONÔMICA FEDERAL,2024-02,2,10,24389.12,0,2024-B1,2438.912
CE,INTER,2024-02,1,1062,1062544.62,0,2024-B1,1000.5128248587572
